BTC_ADDRESS,CONTRIBUTION_AMOUNT,BLOCK_HASH,POLKADOT_ADDRESS
1GBjN2StTZtE2hfTYKeFXBEpHfhsZGtJi5,17900000,c4770e93808e52c1fd97783d3eb31dd0ee30f0f30c5260cb2124e621cc9af70c,135r6xwwtPZAfppTN6un5MPRASdbhRWUvP94MTz88miusQxT
1HX2PaQoBagLaCAS7vtcSYKerGbxSCR6z7,180000000,04a82fe2727f4a99d9dfa4f8e4567a267a18595e4746cda86236e6bc031667b5,14pF6rqWeYHDyZ9HrveumSvdrK5GSX7bhfNfjVt5UmnjNZtY
13pximjqpQPEKL4WWqUXZ2j5VUd8wDMXEb,200000000,7eafaaf9abaf4c84272f1cd941a684c9d2f62e1775afa7e830591cab2ce2a095,17Gd93h79CyGpVxHmJVbimMvRYRupcvQju22Gx33pfPiZQT
1Fz17smJaQCw4mLuzFifezn1r3WNtKCvdm,3213442,af622e3be391f149b432a5bf74eee49acc3bf63f71e90ed819ee4f20d982d557,1N1PkTTpHLxWcdiNpRr2TgDYhnvF3G3JaKdyYUPjsfYzS92
1JbxMZQsBWVtaVF74fKQiAuN2RhXKd4BH4,60660000,469252048c3adf8db6aa4d80536f35e7b2cb93b076e8e9e40dfa55df5f387230,13xQdNHoLzKjJAVRhtyLzYawDqTmwzBiwb8Crt2Q5UJvsYno
13rzipcKNF5JxWwqcpA537JPdN5U97D37m,5481740,830f723a31263d050df0ecb24e65c6e5699d327fae3b4f4c25c435bbc78e910b,1312bzGcG8VhyNyzk6HFeUogwRAonU8PdL1wTGStSbTfK2sc
18FWvUCkoDYo6UAT21m8wxyAHS6EwrXhq,200000000,315acc144f8e32130a335c3973b622551c8a0e4660348718cf1f3d3b78940ef0,13nBv898exsBTdU8X1u2nyZe3rweou84DRcsD75BnvxCZkz6
15aQnCprS1bLc7rpnMUxbjpBc2WjqFdsum,1900000,75b2594ce533434cb113e03a538abd2eacb92a0ae662438d4f61c108c0eb35d7,148MEm1svQCFnpQoCKMYCGf2viAZ5BmqeJyiU83iRowZwVMH
1CwzeMuRebzVNqpgS5q72PDJATVnzoYakK,2670000,b636421ed18b697d55311782c010861abffd4ec01cff660d63e9755ebb03bc4e,15DhiW3EAJVnaY69Ao8AtGgsnZNrdjDmk5e4PqE6u1TAPpbj
1KVD9KhJCMRbtqJBKyXD5taX3suqjjeKuU,45800000,4f9dc261c1037e25b52b92b7056cdba068ba4352d2bb44be73dcbeb11008cb8e,15GJqSfLmqZC1FJEQFvQCFbMzHHKr53jacJy4Lpwrj7HbPMu
1GZhNE1n53T5PfGYz69esvwx1h4Q771j9x,13000000,301474cc8c2eceabe41cae8f6dd3d2daffccb82055182ab4b70840d29a792373,155DA11zQxv12LusuHRwtSBo4dH5iDct8FC1HXSQnm4jkLR9
1EjWW31TF8MKd4o9PuBPD3oSZNTFsppwpq,8847329,e3fa18d80c7bf1a299b50a9949702fc4b42809a66fd17a7f6ec2cf6eb28d44bc,14Q1a5oNbU89WmU6pFMtgv4kbZr9tdoMedPwzPrnMSC5gqnH
13wNn9NCWMGv7BavWz2razYjqdvQsMGjUJ,125000000,81ab15a5fe74d1ca033d2c84bf95993526d10f736398b73f8ebffd485d4c259d,13ikUwDC6nAnpqcZzGSy7j6PwRawGaX225jNhdXDsdujdsGn
13t8Z8o9PJZo8ErmZt8tG9AzCB4jZmrzjM,139800000,011a7686c2f0cf9719e3cef7dee4e5d0ec906f06b506125ebbd0e38bed012cb1,15aKkWcFWVAkrVUG5V2wg8zHW9rtyVV25ix5MTpDJ4Z2H3sS
1M7JeXgooxzRwPkvUSKKrBHrakYPhJY5mR,6500000,c9ac2e7b4d50ce8f67deb7e973dd15f35ac554db599ea9a8ae86b109b17a6851,15G1Qg2dczpkv2rzUTi94yxsh5VKz6Ei1giTGgrSqGCP31PU
17qScoswzyRZLqZozMF49HfCHNu8AycJNS,1000000000,7ef4fe86af71a1bd698a1ad312bafc4c419111f45a56637a7839f177072726fa,16DrPpfduY2WsgtqJdPdJ4m8uB1U8JXbbpymh7cjsjRsrbew
1C1wYzsKHGHe3ZSrmeNzcRKRpgVMwkjZjB,40000000,cd12ba9e3f0bc1de093558940afffa6e04181b90746ab935e3af5033bc0d678e,162Atq4LHLNTPhBdgD3Nv96SKAaRgLh11oASUq9cL5tx9sHw
1Ki23hjbMV32GxZvPEyDLYUNu5oop91mvp,12418400,845340a0b18768edf4aab78b2a96f98ee31c2a14d08cbc70885ec18e0085161e,15Sk5RZQKeoZbx7E5BgzinAtTqsXskZW83vyxK8xHgUdXwJi
14848pbQQhAN8XUaurJ5SwhTsXSiD2vp3V,15000000,db67f0a25964f9911dfa889875bfed521c31963ee11153ee98e64993bef66c9e,12KacGCvXeXAJ36EyNZc9s2UVaUnSGzDNQF983M3xMDeMvGY
1C3QC1mckM43nqx4ohS815PaTwrrJUQYvm,177500000,26fa5a6f25e05007b8c0edd25a9a767a923923af1679214ed0e3cd2e3cbfc286,16Zd2FAwbZWvbuxqQoAsxUQZBMwimLbjDwaLg7DWPN6Hdzhc
1EpyUfWzwvyfsDGUu6HWtZffyup8sAzXQT,340000000,7cc5b91e1893fe1e8b297f73459cd452aa2345241444347bfc251fbaf38f5aed,15JEGqNo1xY5kuwxrs7REozmwZ3Pe9PVc38zJ9zadvipDBAg
1Fcwn5wW6e152PMK9xTscomg8J76nWg9nC,149960000,c4001ccf23bccfb81b1c40f56861c2c83ae053fc3acb5ba370ddfcd793f2c5cb,14AaXVCDAv4eEQ33z3PiYbQexcmbekA4vqWmANbsbLPekdYB
132brkjzJnfZRXzLWVaaMVLocDwqWM9UQ8,71811613,866d48a482204bf8e7fddca283d921f667e095a4d769714e935a9796ddc88e20,15nya6DadmFt5B1ncQYT4a4eBT7dAMWvbqQ31XpwUFVmSkbR
17uAD9XHNHqaRPGJwY9oTCvakDotsQSYiV,6838568,5e38ef0fa25b8d8993ba24ad20ca28f5a35df6defe65cd3b83b943d7be6b249e,1sHhEcJiT7dV5auhtiFMa9V5aJWyKQGLhFD1shjzG5WCLxc
13T1dE6keLU7MrK3ht6LitBR2DLf6qNpB8,7000000,78bfdef98ba2e63c7585809d9013386ea79326353d7e993013ce1cd2c19a3cfb,15GDU2kNVXcPYB6sc5rvR8qNvtUuYBBQVA6vuYyzgyuHobf7
137cGTMcAX97tQUGHWHwCntJNpujBfZexV,65997302,1a32f76ae4b6336424b0d87c08553c9166fd40a8e7bd08307c8faf4ba568d7f8,15EA4ppWfiDgTQR22KkfHhb4uhYcDY4uwxQHyz2BoALjACyZ
1NoTGnACSjKYfz1qvdSkv4ZMnEeggDH3ra,1600000,589b6c77df8add20a3e7a5d42d286a6fb75b0602e13630ab3cc69bbde7424d7d,16RkwwBanikhi7LLzU7jxb7Ew7dPLGQ7K4AZipiFG9igZzGr
1Eey9cEE7qUBvRUiYWJtzdeznrCYc5etQ2,990000000,8417ff2549c03175710a397339d72dfe465122cf3020c0ff6ff4f97e19fe80fa,1FDjr74RUwB2syVjqNWbTCfPzy8VwxktvNsaYMmMaivRU2A
1Jq6QRtpWivcX5PbTkLyAXbMZEitZnB1xp,2000000,2d3ab92d78ef84452e54dda14091d7197204399e6ffabbfdcce68aca93d3503b,1394fTTR2Lzb7Dy6AfoMjNwLvgsojFKrwfTmCx3z4yPjZ122
1H7N9DAGso2X9kp7q2eJUbQrEp1KEjuSJW,310000000,0dec84df1133bdf0c22d3adc17e1ee160224f45997f4659dc47f86137dcb7d16,14Ki6vEfYv83pcJ96AASxyp8N7u74xB7pfvg5HazdDK1toej
1E38ro3BC3fDicGobozcRAQrGUYPxC5Zw4,99950000,b89d2c9dde5d6a8641de40949e647b1339d37dd4b13060e4d884b423f0b40aa6,16aRd7e4Uy5YgnFJEdn5weLoYH7xvYuzegM1CUJPVKgRxhMT
17VVBNTuKQLPujoYW5qnda3HwsSsXrLTo8,8000000,81c259f1b21c5744660df9074bb0eceef1db8368ea476575fd2c5d722360b646,15SqaycnYeu5JxW5XGGkZhS5VLLcYBnjSkgk9bG2gdK6MZkb
1EAgYcwyjbpG8x6wozo4xYCPSK8dEdU7zg,199950000,74e7113c8ff563a5ec3f3f129681aadd455f86bb2cf76050c6f5c4efb49713ae,12QmRJJ1qkL9bm9LsUqBkwhYEUKqWLWB47nqyS3bphJ9N1CD
17gkHUpuKowJfdWEoMsSSFruC9cwXpyt2x,129990136,964dda5576bfb997f5a539308b9f5633a6d1880971c60e675e2317460c0c00b5,133XrX3SCYQGYvPSuVSqGq5GDYSVxdj1hGz3Seg3wL54kMfk
1Nvx8gNebeZdnEJz97zeaYVTiX7WiKkKYb,253230000,6a1640489b6745f126073637d4a3355fc3c15f2e0bf9e9584b5702ee745f7ded,14rowZTNpHSsnCxNKrheFc58y6DazBcU84P8LnSHvdsZVEfS
1AysRdsve5UDsWX4kiLyN4iaZPfFdak8qq,25000000,e8f7de62dd77e0d21429a2264b8034726c370c12e406e894b292fb1780acab12,12CAKKvrpomdk1Up2FeuufjspG6jRiN2xYFUv8c5bApKULFT
1GzccefNE11quCQyoMXris1FTwdHisd6iT,1160000,3ca78f4733b4ea3c5d069424d33b2315f9413691ef29058f01b7d1931a442dfe,15x5vbEAbjcVn6itQdZA3a2keCAojG1tGv5TyBP187KYwDXn
14ekWzSSQGoZksDz6ZfUPnT6Ha3bfywRYr,12551000,bba93c026770d3177f456e2c6bb4a8d5957329a3e89d1bc87eba02ea6cdaaaf9,12periAY469sMjw89fsafwCEBNjMi73Y8KRAgzLkyktNCFrJ
1DcTy5u3qNxBSCQWWVPPinxRxJoGqKTzWw,30000000,34168e8ed76f70fad74a8a50cebca75f923a9929b21749665e9e93b937717eaa,12YgzUYy8mz7QVaKJBM3iFBegeifbnhyzUydaNA5C2PzfV9G
1L6mingGVpZVSeR6FHo8WUexXVKZjkzZHW,1775000,c4c911b52105acc4da172406d1a1986142ec4e54c95fa4903c75cf72a9687674,14Aofm5F4J3LJ2duJNyeqeZjsS8DK25hgFagzCLZUeZSpLGQ
1AinjcLupeQCjwUbbqgNiL33pwSu4W2gJt,115202200,718d98273cda025de204a53740328c117cc8d7b23b684febc8ea770f0b2b1184,15GY81EcQtHGVXtTUXTc59sanZH6MGM7VRaSHCWmBDbZHhTp
1GH9MPLcjFEMu18Tg2UV8A1yieWuQLDXUb,100000000,cfd7a170c1232eed74eb2fc05c730b4625c97a71d4fdefcee0898161815f63b5,13NNPKTF7wNEWpbfpykeR3HeYdZRPYqYc2aoitcSmmojyaSk
188MTN7uDjXy5GHxJjtp1HCcQbE7uxXExM,16000000,66f9fd00e09f04341ebdd752f0581cb11e188eda5161682d4d4872d50f418866,14GHzGqD2Pv9Db49gswHcnyyJCMeJzcRUueHTFP8mAa9Djky
1BUSx6pCBkmA7dA7ypxmozA5rcNovWyZFi,2700000,716364ec15848c54ca905bf07681e24eb169d6f3e4b6992cb68519915d79faaa,14AdjuKXhdq6sNzUD4pqH5m1iNXjLAPns2117DHkonBL6777
1LiUzCpJ5kiPPLyhszCDx5Du76DgaGdzhe,22780014,ccce07115d4dacf41bc2a443417b17912ae466fc2201f726f17b90016f4fbd37,128d6zKnPtJaTafjK7XbQv1QU5ayHvfwuaTJWHM1hP6ABtac
1Da5ZjNW7qZDiwumgLZZTceD9ZS7GgsmHS,2000000,58ffb882f0f452d431e3c2afe66027ca6f8a447d4d82ee268eb35fbda55f32f8,1688w3kN3NpDzf9EdTSh3riRX6ZVTexB6x1kDeXPvzRk5X1i
